product_category,Total_Sales,Avg_Rating,Avg_Health_Score,Total_Products,Low_Sales_Count,Low_Sales_%
Cameras,139874130.25,4.497688332880065,0.6682459373379753,3677,468,12.73
Chargers & Cables,28049166.0,4.408401527550463,0.703270713886188,1833,259,14.13
Gaming,13337075.0,4.290605686032138,0.5872183605099158,809,242,29.91
Headphones,14011955.5,4.207723169508526,0.5681742350628429,997,491,49.25
Laptops,304207346.0,4.348556309674451,0.6444938984477183,8693,2197,25.27
Networking,32439459.0,4.251869158878504,0.6396521514992206,1070,159,14.86
Other Electronics,165619346.5,4.435579668760708,0.6739218861935123,8755,672,7.68
Phones,153577537.0,4.3026512265732135,0.7012735635941542,6563,595,9.07
Power & Batteries,37417857.25,4.607542579075425,0.8471467999060263,2877,189,6.57
Printers & Scanners,15672645.5,4.333067274800456,0.6256211998177507,877,103,11.74
Smart Home,25030615.75,4.472688172043011,0.634312726641627,465,86,18.49
Speakers,39326684.0,4.499553903345725,0.6615880219339717,1345,125,9.29
Storage,46435485.25,4.360981595092024,0.6718051765130203,1630,53,3.25
TV & Display,69154362.0,4.487034220532319,0.6764535512322243,2630,187,7.11
Wearables,8478653.5,4.501321585903083,0.7897730424166812,454,141,31.06
