product_title,product_category,purchased_last_month,product_rating,Health_Score,discounted_price
"LISEN USB C to Lightning Cable, 240W 4 in 1 Charging Cable 6.6FT, Chubby USB A/C to C/Lightning with Light for iPhone 16e 15 14 Pro/MacBook Air 17/iPad/Samsung/Switch 2, Multi Chargers for All Devices",Laptops,600.0,4.3,0.940583293428354,9.99
"DJI Mic 2 (2 TX + 1 RX + Charging Case), Wireless Lavalier Microphone, Intelligent Noise Cancelling, 32-bit Float Internal Recording, 820 ft.(250m) Range, Microphone for iPhone, Android, Camera",Laptops,600.0,4.6,0.9614298188783412,314.0
"Apple AirPods Pro 2 Wireless Earbuds, Active Noise Cancellation, Hearing Aid Feature, Bluetooth Headphones, Transparency, Personalized Spatial Audio, High-Fidelity Sound, H2 Chip, USB-C Charging",Phones,600.0,4.6,0.9575038731303344,162.24
"Apple AirTag 4 Pack. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",Phones,600.0,4.8,0.9725038731303344,72.74
"Texas Instruments TI-84 Plus CE Color Graphing Calculator, Black",Other Electronics,600.0,4.6,0.9575038731303344,99.95
"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 30 Hours of Battery Life, Effortless Setup for iPhone",Phones,600.0,4.5,0.9500038731303344,88.11
"Apple AirTag. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",Phones,600.0,4.6,0.9575038731303344,23.04
"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Blue",Cameras,600.0,4.7,0.9650038731303344,284.05
"Amazon Basics 48-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",Laptops,600.0,4.7,0.9650038731303344,14.99
"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",Laptops,600.0,4.8,0.9796128278076676,496.665
Seagate IronWolf 12TB NAS Internal Hard Drive HDD – CMR 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache for RAID Network Attached Storage (ST12000VNZ008/ST12000VN0008),Storage,600.0,4.4,0.9425038731303343,249.99
"Peak Design Slide Lite Camera Strap, Black, Configurable as a Sling, Neck or Shoulder Strap, Quick Release and Connection, Smooth and Grippy Side, Camera Straps for Photographers, 200 lb Capacity",Cameras,500.0,4.7,0.8897765299825102,69.95
"Texas Instruments TI-30XIIS Scientific Calculator, Black with Blue Accents",Other Electronics,600.0,4.7,0.9650038731303344,17.45
"Amazon Basics Multipurpose Copy Printer Paper, 20 lb, 8.5 x 11 Inches, 8 Reams (4,000 Sheets), 92 Bright, White",Printers & Scanners,600.0,4.8,0.9725038731303344,39.97
"Amazon Basics AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life, 36 Count (Pack of 1)",Laptops,600.0,4.7,0.9650038731303344,14.49
"Amazon Basics Clear Thermal Laminating Plastic Paper Laminator Sheets, 9 x 11.5-Inch, 200-Pack, 3mil",Other Electronics,600.0,4.8,0.9725038731303344,16.98
"Roku Streaming Stick HD 2025 — HD Streaming Device for TV with Roku Voice Remote, Free & Live TV",TV & Display,600.0,4.6,0.964626911917974,33.51
"Energizer AA Batteries Alkaline Power, 32 Count Alkaline Double A Battery Pack",Power & Batteries,600.0,4.8,0.9725038731303344,16.95
"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Band S/M. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",TV & Display,600.0,4.6,0.9575038731303344,146.14
"Amazon Basics Wood-Cased #2 Pencils, Pre-sharpened, HB Lead Bulk Box, 150 Count, Yellow",Other Electronics,600.0,4.8,0.9725038731303344,9.89
"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",Phones,600.0,4.6,0.9575038731303344,16.1
"Duracell 2032 Lithium Battery. 4 Count Pack. Child Safety Features. Compatible with Apple AirTag, Key Fob, and other devices. CR2032 3V Cell. 2032 Battery, Lithium Coin",Power & Batteries,600.0,4.7,0.9650038731303344,84.99
"Energizer Alkaline Power AAA Batteries, 32 Count, Long-Lasting Triple A Batteries, Suitable for Everyday Electronics and Emergency Gear",Power & Batteries,600.0,4.8,0.9725038731303344,15.15
"Duracell Coppertop AA Batteries with Power Boost Ingredients, 24 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",Power & Batteries,600.0,4.8,0.9725038731303344,18.79
"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",Phones,600.0,4.5,0.9500038731303344,9.54
"HP 67 Black/Tri-color Ink Cartridges for HP Printers | Works with Printer Series: DeskJet 1255, 2700, 4100; ENVY 6000, 6400 | Eligible for Instant Ink | 3YP29AN",Laptops,600.0,4.6,0.9575038731303344,43.89
"HP 67XL Black High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | One Size | 3YM57AN",Laptops,600.0,4.6,0.9575038731303344,35.89
Texas Instruments TI-30XS MultiView Scientific Calculator,Other Electronics,600.0,4.8,0.9725038731303344,16.99
"Amazon Basics Micro SDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB, Black",Chargers & Cables,600.0,4.7,0.9650038731303344,11.06
"Mounting Dream TV Wall Mount for 32-65 Inch Television,Mount with Swivel and Tilt, Full Motion Bracket with Articulating Dual Arms, Fits 16inch Studs, Max VESA 400X400 mm, 99lbs, MD2380",TV & Display,600.0,4.8,0.9725038731303344,39.97
"Energizer Ultimate Lithium AA Batteries Pack, 1.5V AA Batteries, 24 Count",Power & Batteries,600.0,4.7,0.9650038731303344,84.99
"Scotch Heavy Duty Shipping and Moving Packing Tape, Clear, Packing and Moving Supplies, 1.88 in. x 22.2 yd., 6 Tape Rolls with Dispensers",Other Electronics,600.0,4.8,0.9725038731303344,13.86
"JBL Vibe Beam - True Wireless JBL Deep Bass Sound Earbuds, Bluetooth 5.2, Water & Dust Resistant, Hands-free call with VoiceAware, Up to 32 hours of battery life (Black)",Headphones,600.0,4.3,0.9350038731303344,29.95
"Apple Pencil Pro: Latest Model - Device Compatibility Check Required - Pixel-Perfect Precision, Tilt and Pressure Sensitivity, Perfect for Note-Taking, Drawing, and Art. Charges and Pairs Magnetically",Phones,600.0,4.6,0.9575038731303344,148.0
"Energizer AA and AAA Batteries, 48 Count, Combo Pack Contains 24 Max Double A and 24 Max Triple A Batteries",Power & Batteries,600.0,4.8,0.9725038731303344,23.1
"Amazon Basics File Folders with Tabs for Filing, 1/3-Cut Tab, Assorted Positions, 8.5x11 inches, Letter Size, Manila, Pack of 100",Other Electronics,600.0,4.8,0.9725038731303344,11.1
"Duracell Coppertop AAA Batteries with Power Boost Ingredients, 24 Count Pack Triple A Battery with Long-Lasting Power, Alkaline AAA Battery for Household and Office Devices",Power & Batteries,600.0,4.8,0.9725038731303344,20.39
"HP OfficeJet Pro 8125e Wireless All-in-One Color Inkjet Printer, Print, scan, Copy, ADF, Duplex Printing, Home & Office, 3 Months of Instant Ink Included (405T6A)",Laptops,600.0,4.1,0.9312366553054844,119.99
"Scotch Thermal Laminating Pouches, for Use with Thermal Laminators, 8.9 x 11.4 Inches, Letter Size Sheets, 100-Pack",Other Electronics,600.0,4.9,0.9800038731303344,11.99
"TP-Link AC1200 WiFi Extender, 2025 Wirecutter Best WiFi Extender, 1.2Gbps Home Signal Booster, Dual Band 5GHz/2.4GHz, Up to 1600 Sq.ft and 32 Devices, EasyMesh Compatible, One Ethernet Port (RE315)",Networking,600.0,4.2,0.9275038731303344,19.99
"Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite",Phones,600.0,4.4,0.9425038731303343,159.0
"Apple Watch Series 10 [GPS 42mm case] Smartwatch with Rose Gold Aluminium Case with Light Blush Sport Band - S/M. Fitness Tracker, ECG App, Always-On Retina Display, Water Resistant",TV & Display,600.0,4.7,0.9650038731303344,280.12
Sharpie Permanent Markers Bulk Set Fine Tip Markers Set For Plastic Metal Wood And More Black 36 Count,Other Electronics,600.0,4.8,0.9725038731303344,17.97
Texas Instruments TI-30Xa Scientific Calculator,Other Electronics,600.0,4.7,0.9650038731303344,10.82
"SanDisk 128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN",Storage,600.0,4.8,0.9725038731303344,21.99
"Duracell Coppertop AA Batteries with Power Boost Ingredients, 28 Count (Pack of 1) Long-lasting Alkaline Double AA Battery in Re-closable Pack for Quick Access and Organized Storage",Storage,600.0,4.8,0.9725038731303344,25.66
"Beats Solo 4 - Wireless Bluetooth On-Ear Headphones, Apple & Android Compatible, Up to 50 Hours of Battery Life - Cloud Pink",Phones,600.0,4.6,0.9575038731303344,127.49
"AMD RYZEN 7 9800X3D 8-Core, 16-Thread Desktop Processor",Laptops,600.0,4.8,0.9783086391932622,476.5
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",Storage,600.0,4.6,0.9575038731303344,79.99
"Apple Pencil (USB-C): Device Compatibility Check Required - Pixel-Perfect Precision, Tilt Sensitivity, Perfect for Note-Taking, Drawing, and Signing Documents. Charges and Pairs with USB-C",Phones,600.0,4.6,0.9575038731303344,97.49
"HP 910 Cyan, Magenta, Yellow Ink Cartridges | Works with HP OfficeJet 8010, 8020 Series, HP OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3YN97AN, 3 Count (Pack of 1)",Laptops,600.0,4.6,0.9575038731303344,47.89
"PHILIPS TAT1108 Wireless Earbuds,True Wireless Headphones,Powerful Bass with 6 mm Driver,Clear Call with AI Mic,15-Hour Battery Life,Bluetooth v5.3,IPX4 Rating,Ergonomic Design for Comfort,Black",Phones,500.0,3.9,0.8297765299825102,29.99
"HP 910XL Black High-yield Ink Cartridge for HP Printers | Works with Printer Series: OfficeJet 8010, 8020; OfficeJet Pro 8020, 8030 | Eligible for Instant Ink | 3YL65AN",Laptops,600.0,4.6,0.9575038731303344,52.89
"Apple iPad Air 11-inch with M3 chip Built for Apple Intelligence, Liquid Retina Display, 128GB, 12MP Front/Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life — Space Gray",Laptops,600.0,4.8,0.980629700571815,496.665
"Amazon Basics 8-Pack 9V Alkaline Batteries, 5-Year Shelf Life - for Smoke/CO Detector, Electronics & Audio",Other Electronics,600.0,4.7,0.9650038731303344,12.69
"VIZIO 40-inch Full HD 1080p Smart TV with DTS Virtual: X, Alexa Compatibility, Google Cast Built-in, Bluetooth Headphone Capable, (VFD40M-08 New)",Phones,600.0,4.1,0.9200038731303344,138.0
